3011	"INVTC 1"	
3013	"INVTC 2"	
3015	"INVTC 3"	
3017	"INVTC 4"	
3019	"INVTC 5"	
3021	"INVTC 6"	
3023	"INVTC 7"	
3025	"INVTC 8"	
3027	"INVTC 9"	
3029	"INVTC 10"	
3031	"INVTC 11"	
3033	"INVTC 12"	
3035	"INVTC 13"	
3075	"GANGS 3D"	
3077	"GANGS 4D"	
3079	"GANGS 5D"	
3081	"GANGS 6D"	
3085	"NARC 4D"	
3087	"NARC 5D"	
3089	"NARC 6D"	
3091	"NARC 7D"	
3093	"NARC 8D"	
3095	"NTF 2D"	
3103	"SWAT 2D"	
3107	"CIU 2D"	
3111	"ROBBERY 3D"	
3113	"ROBBERY 4D"	
3117	"VICE 3D"	
3123	"VICE 4D"	
3124	"INV TAC 14D"	
3125	"INV TAC 15D"	
3127	"INV TAC 16D"	
3129	"INV TAC 17D"	
3131	"INV TAC 18D"	
3141	"INV TAC 23D"	
323	"ADMIN 7A"
313	"DISP 7B"
327	"SSC 7C"
513	"BLS 7D"
467	"CMD 7E"
463	"TAC 7F"
473	"TAC 7G"
407	"CMD 7H"
403	"TAC 7I"
413	"TAC 7J"
353	"TAC 7K"
363	"TAC 7L"
347	"TAC 7M"
527	"TAC 7N"
321	"7P SND EMG"
427	"CMD 8A"
423	"TAC 8B"
433	TAC 8C"
487	"CMD 8D"
483	"TAC 8E"
493	"TAC 8F"
447	"CMD 8G"
443	"TAC 8H"
453	"TAC 8I"
357	"TAC 8J"
457	"TAC 8K"
477	"TAC 8L"
497	"TAC 8M"
397	"RIC 8N"
373	"CMD 9A"
507	"TAC 9N"
367	"TAC 9B"
377	"TAC 9C"
333	"CMD 9D"
337	"TAC 9E"
517	"TAC 9F"
343	"CMD 9G"
383	"TAC 9H"
533	"TAC 9I"
437	"TAC 9J"
537	"TAC 9K"
543	"TAC 9L"
547	"TAC 9M"
551	"16A B1 TRNG"
553	"16B B2 TRNG"
555	"16C B3 TRNG"
557	"16D B4 TRNG"
559	"16E B5 TRNG"
561	"16F B6 TRNG"
563	"16G B7 TRNG"
565	"16H Open"
567	"16I NTC TRNG"
569	"16J NTC TRNG"
571	"16K EVNT"
573	"16L EVNT"
575	"16M EVNT"
577	"16N EVNT"
1617	"6A SCV"
1621	"6B SLJ"
1629	"6C PAL"
1605	"6D UCSD"
1613	"6E MERC"
1609	"6F SHAR"
1625	"6G GROS"
297	"LG DIS 1"
1205	"LG DIS 2"
1207	"LG DIS 3"
1209	"LG INQUIRY"
1213	"LG TAC 1"
1217	"LG TAC 2"
1221	"LG TAC 3"
1225	"LG TAC 4"
1229	"LG TAC 5"
1233	"LG TAC 6"
1237	"LG TAC 7"
1239	"LG TAC 8"
1241	"LG RIV CMD"
1245	"LG RIV TAC"
1249	"LG ADMIN"
1255	"LG D2 TAC"
1257	"LG D3 TAC"
1261	"LG SPEC 1"
1263	"LG SPEC 2"
1267	"LG JG OPS"
1269	"LG JG TAC"
1271	"LG TRN 1"
1273	"LG TRN 2"
185	"SDMA 10"
187	"SDMA 20"
189	"SDMA 30"
1301	"RANGER TAC 1"
1281	"RANGER TAC 2"
1283	"RANGER TAC 3"
1289	"RANGER TAC 4"
1295	"RANGER TAC 5"
1307	"PW 38 CALL"
1309	"PW CITY DISP"
1311	"PW WATER DISP"
1395	"PublicWorks 1395"
2041	"SDPW LF1"
2043	"SDPW LF2"
8190	"SD Sanitation An"
8192	"SD Sanitation 2"
8193	"SD Sanitation 3"
8194	"SD Sanitation 4"
8195	"SD Sanitation 5"
8196	"SD Sanitation 6"
8197	"SD Sanitation 7"
8198	"SD Sanitation 8"
8199	"SD Sanitation 9"
783	"SDCCD PD DISP 1"
785	"SDCCD PD DISP 2"
789	"SDCCD PD TAC 1"
791	"SDCCD PD TAC 2"
613	"SDUSD PD ADMIN"
623	"SDUSD PD DISP"
703	"SDUSD PD TAC 1"
709	"SDUSD PD TAC 2"
655	"SDUSD Secrty"
625	"SDUSD TransA"
627	"SDUSD TransA"
633	"SDUSD TransC"
637	"SDUSDTransWC"
647	"SDUSD 647"
651	"SDUSD 2G"
667	"SDUSD 667"
679	"SDUSD TrnEMR"
691	"SDUSD ST"
697	"SDUSD 2H"
1	"Test 0001"
2571	"Test 2571"

